epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,9879.69,2.38096,2.03261,2.95502,0.70691,0.66382,0.69589,0.5216,1.94646,3.54112,3.09792,0.007228,0.007228,0.007228
58,10052.2,2.35334,1.99141,2.94062,0.70685,0.66508,0.6969,0.52232,1.94543,3.52257,3.09486,0.0071785,0.0071785,0.0071785
59,10224.9,2.31622,1.96037,2.9145,0.70954,0.66608,0.69864,0.52397,1.9436,3.51155,3.09152,0.007129,0.007129,0.007129
60,10398.8,2.30597,1.97965,2.98948,0.71349,0.66447,0.69987,0.52529,1.9429,3.50072,3.08966,0.0070795,0.0070795,0.0070795
61,10573.1,2.28949,1.89213,2.90005,0.71421,0.66347,0.70128,0.52665,1.94161,3.48191,3.08818,0.00703,0.00703,0.00703
62,10747,2.2847,1.92385,2.9103,0.71152,0.66833,0.70251,0.52801,1.93928,3.4661,3.08571,0.0069805,0.0069805,0.0069805
63,10919.2,2.34821,1.9711,2.9474,0.71399,0.66545,0.70331,0.529,1.93753,3.45632,3.08321,0.006931,0.006931,0.006931
64,11091.5,2.30835,1.9888,2.88632,0.71494,0.6638,0.70429,0.53027,1.93608,3.44495,3.08104,0.0068815,0.0068815,0.0068815
65,11265.4,2.29288,1.93877,2.92687,0.71702,0.66466,0.70516,0.53127,1.93417,3.43908,3.07731,0.006832,0.006832,0.006832
66,11438.3,2.2526,1.85229,2.88242,0.70857,0.66994,0.70604,0.53214,1.93267,3.43279,3.07415,0.0067825,0.0067825,0.0067825
67,11610.8,2.30985,1.97054,2.90322,0.71183,0.66748,0.70706,0.53355,1.93085,3.41903,3.07221,0.006733,0.006733,0.006733
68,11783.1,2.32289,1.96681,2.92801,0.71228,0.6679,0.70787,0.53423,1.93042,3.41083,3.07037,0.0066835,0.0066835,0.0066835
69,11955.6,2.28988,1.92629,2.92264,0.70518,0.67655,0.70924,0.53503,1.9287,3.40205,3.06848,0.006634,0.006634,0.006634
70,12128.8,2.25752,1.85355,2.89802,0.70923,0.67292,0.7092,0.53537,1.92655,3.38938,3.06548,0.0065845,0.0065845,0.0065845
71,12302,2.26746,1.90366,2.8969,0.70881,0.67276,0.70968,0.53604,1.92434,3.3828,3.06292,0.006535,0.006535,0.006535
72,12476.1,2.31844,1.93552,2.90445,0.70554,0.67938,0.71072,0.53698,1.92339,3.37356,3.06065,0.0064855,0.0064855,0.0064855
73,12648.8,2.28901,1.89434,2.86646,0.71051,0.67632,0.71178,0.5379,1.92133,3.35987,3.05637,0.006436,0.006436,0.006436
74,12821.7,2.26717,1.84168,2.86746,0.71275,0.67769,0.71289,0.53859,1.91977,3.35451,3.05294,0.0063865,0.0063865,0.0063865
75,12994.4,2.29385,1.90788,2.90345,0.71137,0.68004,0.71417,0.53947,1.91832,3.34242,3.04979,0.006337,0.006337,0.006337
76,13167,2.2954,1.93474,2.91534,0.71057,0.68077,0.71509,0.54014,1.91645,3.33831,3.04695,0.0062875,0.0062875,0.0062875
77,13340.2,2.25341,1.87307,2.84949,0.71457,0.67656,0.7157,0.54076,1.91566,3.33046,3.04476,0.006238,0.006238,0.006238
78,13512.8,2.25714,1.80459,2.84173,0.71293,0.6779,0.71655,0.54192,1.914,3.32255,3.04285,0.0061885,0.0061885,0.0061885
79,13686.1,2.2352,1.82164,2.86272,0.71834,0.67447,0.71662,0.54236,1.91284,3.31823,3.04025,0.006139,0.006139,0.006139
80,13859,2.27742,1.95001,2.88906,0.71528,0.67714,0.71726,0.54328,1.91158,3.31047,3.03635,0.0060895,0.0060895,0.0060895
81,14032.4,2.25563,1.8181,2.8311,0.71471,0.67757,0.71773,0.54412,1.90978,3.30336,3.03198,0.00604,0.00604,0.00604
82,14205.4,2.27421,1.87856,2.85488,0.71139,0.68079,0.71829,0.54504,1.90843,3.29277,3.02826,0.0059905,0.0059905,0.0059905
83,14378.4,2.2085,1.78446,2.84543,0.71278,0.68134,0.71895,0.54586,1.90705,3.29026,3.02511,0.005941,0.005941,0.005941
84,14551.6,2.22346,1.80173,2.84004,0.71726,0.67824,0.71959,0.54668,1.90526,3.28073,3.02297,0.0058915,0.0058915,0.0058915
85,14724.7,2.24166,1.84649,2.84235,0.71864,0.67771,0.72052,0.54766,1.90407,3.275,3.01986,0.005842,0.005842,0.005842
86,14898.4,2.23114,1.85954,2.83338,0.7247,0.6746,0.72146,0.54886,1.90259,3.26962,3.01727,0.0057925,0.0057925,0.0057925
87,15071.2,2.20143,1.80874,2.84953,0.72742,0.67421,0.72251,0.54971,1.9016,3.26659,3.01491,0.005743,0.005743,0.005743
88,15244.5,2.1952,1.76718,2.86074,0.72586,0.67564,0.72332,0.55056,1.90051,3.2635,3.01158,0.0056935,0.0056935,0.0056935
89,15417.1,2.22747,1.7794,2.80397,0.72101,0.67962,0.72423,0.55152,1.89838,3.25994,3.00942,0.005644,0.005644,0.005644
90,15589.3,2.18807,1.7697,2.80609,0.72789,0.67581,0.7248,0.55245,1.89653,3.25815,3.00652,0.0055945,0.0055945,0.0055945
91,15761.3,2.22273,1.834,2.85609,0.72604,0.67998,0.72568,0.55324,1.89502,3.25556,3.00399,0.005545,0.005545,0.005545
92,15933.9,2.18866,1.75799,2.84014,0.72412,0.68332,0.72717,0.55435,1.89261,3.25123,2.99966,0.0054955,0.0054955,0.0054955
93,16107,2.23331,1.79196,2.85592,0.72174,0.68489,0.72829,0.55519,1.89057,3.24706,2.99737,0.005446,0.005446,0.005446
94,16279.7,2.23516,1.78608,2.82625,0.71721,0.68929,0.72882,0.55608,1.88978,3.24557,2.995,0.0053965,0.0053965,0.0053965
95,16452.7,2.19623,1.7553,2.79286,0.72049,0.6885,0.72964,0.55711,1.88852,3.2429,2.99221,0.005347,0.005347,0.005347
96,16625.3,2.17925,1.73282,2.82474,0.72254,0.68929,0.7305,0.55795,1.88789,3.23437,2.98957,0.0052975,0.0052975,0.0052975
97,16797.7,2.21573,1.79636,2.78261,0.7203,0.69353,0.73156,0.55881,1.88673,3.22733,2.98679,0.005248,0.005248,0.005248
98,16970,2.21357,1.78487,2.82077,0.72711,0.69066,0.73247,0.56015,1.88475,3.22649,2.98307,0.0051985,0.0051985,0.0051985
99,17142.1,2.21287,1.80215,2.82463,0.72877,0.69107,0.7335,0.5613,1.88288,3.2215,2.98022,0.005149,0.005149,0.005149
100,17316.7,2.23401,1.78203,2.79042,0.73056,0.68989,0.73463,0.56241,1.88137,3.21836,2.97649,0.0050995,0.0050995,0.0050995
101,17490.5,2.20941,1.77782,2.85634,0.72901,0.69452,0.73512,0.56303,1.87953,3.21471,2.97368,0.00505,0.00505,0.00505
